 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 41.94 sec, current time: 557314607.03)
0.017	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.022	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.022	                       -	                   -	Blocking app contact
0.061	                       -	                   -	Successfully read encryption key from keychain in 0.041131 seconds
0.186	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
0.187	                       -	                   -	server_show_windows_for_asns start
0.187	                       -	                   -	Allowing apps to contact us
0.188	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.188	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.188	                       -	                   -	Liveness: 3 -> 4 (add_app)
0.188	      com.apple.appstore	           Launching	
0.306	                       -	                   -	Finder not yet launched, but pretending it is
0.307	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
0.307	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.307	                       -	                   -	loginwindow launched apps com.apple.appstore
0.325	                       -	                   -	Bitmaps Ready (1 apps, 1 windows)
0.326	        com.apple.finder	                   -	Disposing because it has no windows
0.326	        com.apple.finder	            Disposed	
0.326	                       -	                   -	server_show_windows_for_asns end
0.452	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.452	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.452	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.452	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.453	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.453	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.756	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.756	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.757	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (no) and/or unhidden (yes)
0.757	                       -	                   -	Still waiting for registration from com.apple.appstore, Finder
0.908	                       -	                   -	Refusing connection from pid 330 (app was (null))
1.114	        com.apple.finder	                   -	Finder checked in
1.114	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.114	                       -	                   -	Still waiting for registration from com.apple.appstore
1.138	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.138	                       -	                   -	Still waiting for registration from com.apple.appstore
2.130	      com.apple.appstore	           Connected	
2.130	                       -	                   -	Acquired designated connection from pid 325 (app is <TCApplication: 0x7fcac740dfd0 (com.apple.appstore)>)
2.284	      com.apple.appstore	   Requested windows	1 window.
2.285	      com.apple.appstore	 Transferred windows	
2.286	      com.apple.appstore	                   -	Registered as TAL ready
2.286	                       -	                   -	All started apps have registered (no remaining unregistered apps)
2.287	                       -	                   -	Waiting for Dock...
2.287	                       -	                   -	Dock is avaialable.
2.287	                       -	                   -	Liveness: 4 -> 5 (_wait_for_dock)
2.287	                       -	                   -	TAL Relaunch - all apps registered as ready
2.287	                       -	                   -	Liveness: 5 -> 4 (__server_show_windows_for_asns_block_invoke.34)
2.288	                       -	                   -	Liveness: 4 -> 3 (___wait_for_dock_block_invoke_3)
2.288	      com.apple.appstore	                   -	Reported finished launching.
3.329	                       -	                   -	Liveness: 3 -> 2 (__create_xpc_listener_block_invoke)
11.108	      com.apple.appstore	            Disposed	
13.310	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
16.549	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
16.549	                       -	                   -	Exiting out of boredom
